Training for fold 4 with data size 1640
Iter: 0	Train_Acc: 0.643902439024	Train_F_Pos: 0.598780487805	Train_F_Neg: 0.113414634146	Test_Acc: 0.461904761905	Test_F_Pos: 0.609523809524	Test_F_Neg: 0.466666666667	Time: 11.5196239948
Iter: 1	Train_Acc: 0.637804878049	Train_F_Pos: 0.30487804878	Train_F_Neg: 0.419512195122	Test_Acc: 0.579365079365	Test_F_Pos: 0.293650793651	Test_F_Neg: 0.547619047619	Time: 13.273332119
Iter: 2	Train_Acc: 0.715853658537	Train_F_Pos: 0.365853658537	Train_F_Neg: 0.20243902439	Test_Acc: 0.521428571429	Test_F_Pos: 0.377777777778	Test_F_Neg: 0.579365079365	Time: 13.0263659954
Iter: 3	Train_Acc: 0.715853658537	Train_F_Pos: 0.365853658537	Train_F_Neg: 0.20243902439	Test_Acc: 0.521428571429	Test_F_Pos: 0.377777777778	Test_F_Neg: 0.579365079365	Time: 13.0162370205
Iter: 4	Train_Acc: 0.764634146341	Train_F_Pos: 0.260975609756	Train_F_Neg: 0.209756097561	Test_Acc: 0.578571428571	Test_F_Pos: 0.290476190476	Test_F_Neg: 0.552380952381	Time: 13.0980839729
Iter: 5	Train_Acc: 0.767682926829	Train_F_Pos: 0.291463414634	Train_F_Neg: 0.173170731707	Test_Acc: 0.569841269841	Test_F_Pos: 0.328571428571	Test_F_Neg: 0.531746031746	Time: 12.9853491783
Iter: 6	Train_Acc: 0.785365853659	Train_F_Pos: 0.167073170732	Train_F_Neg: 0.262195121951	Test_Acc: 0.584920634921	Test_F_Pos: 0.214285714286	Test_F_Neg: 0.615873015873	Time: 13.055380106
Iter: 7	Train_Acc: 0.792682926829	Train_F_Pos: 0.231707317073	Train_F_Neg: 0.182926829268	Test_Acc: 0.565873015873	Test_F_Pos: 0.269841269841	Test_F_Neg: 0.598412698413	Time: 13.1223721504
Iter: 8	Train_Acc: 0.77987804878	Train_F_Pos: 0.208536585366	Train_F_Neg: 0.231707317073	Test_Acc: 0.580158730159	Test_F_Pos: 0.250793650794	Test_F_Neg: 0.588888888889	Time: 12.9918670654
Iter: 9	Train_Acc: 0.785975609756	Train_F_Pos: 0.223170731707	Train_F_Neg: 0.20487804878	Test_Acc: 0.573015873016	Test_F_Pos: 0.260317460317	Test_F_Neg: 0.593650793651	Time: 13.0155260563
Iter: 10	Train_Acc: 0.792682926829	Train_F_Pos: 0.224390243902	Train_F_Neg: 0.190243902439	Test_Acc: 0.574603174603	Test_F_Pos: 0.277777777778	Test_F_Neg: 0.573015873016	Time: 12.9819478989
Iter: 11	Train_Acc: 0.801219512195	Train_F_Pos: 0.189024390244	Train_F_Neg: 0.208536585366	Test_Acc: 0.576984126984	Test_F_Pos: 0.220634920635	Test_F_Neg: 0.625396825397	Time: 13.0123188496
Iter: 12	Train_Acc: 0.79512195122	Train_F_Pos: 0.240243902439	Train_F_Neg: 0.169512195122	Test_Acc: 0.563492063492	Test_F_Pos: 0.28253968254	Test_F_Neg: 0.590476190476	Time: 13.1036369801
Iter: 13	Train_Acc: 0.812195121951	Train_F_Pos: 0.170731707317	Train_F_Neg: 0.20487804878	Test_Acc: 0.588095238095	Test_F_Pos: 0.193650793651	Test_F_Neg: 0.630158730159	Time: 13.1025400162
Iter: 14	Train_Acc: 0.800609756098	Train_F_Pos: 0.224390243902	Train_F_Neg: 0.174390243902	Test_Acc: 0.580158730159	Test_F_Pos: 0.253968253968	Test_F_Neg: 0.585714285714	Time: 13.0153470039
Iter: 15	Train_Acc: 0.813414634146	Train_F_Pos: 0.186585365854	Train_F_Neg: 0.186585365854	Test_Acc: 0.594444444444	Test_F_Pos: 0.2	Test_F_Neg: 0.611111111111	Time: 13.1166939735
Iter: 16	Train_Acc: 0.815853658537	Train_F_Pos: 0.168292682927	Train_F_Neg: 0.2	Test_Acc: 0.595238095238	Test_F_Pos: 0.173015873016	Test_F_Neg: 0.636507936508	Time: 13.1274321079
Iter: 17	Train_Acc: 0.821341463415	Train_F_Pos: 0.185365853659	Train_F_Neg: 0.171951219512	Test_Acc: 0.603174603175	Test_F_Pos: 0.203174603175	Test_F_Neg: 0.590476190476	Time: 13.174943924
Iter: 18	Train_Acc: 0.812195121951	Train_F_Pos: 0.192682926829	Train_F_Neg: 0.182926829268	Test_Acc: 0.6	Test_F_Pos: 0.201587301587	Test_F_Neg: 0.598412698413	Time: 13.0506410599
Iter: 19	Train_Acc: 0.826829268293	Train_F_Pos: 0.169512195122	Train_F_Neg: 0.176829268293	Test_Acc: 0.594444444444	Test_F_Pos: 0.203174603175	Test_F_Neg: 0.607936507937	Time: 13.072496891
Iter: 20	Train_Acc: 0.826219512195	Train_F_Pos: 0.171951219512	Train_F_Neg: 0.175609756098	Test_Acc: 0.586507936508	Test_F_Pos: 0.193650793651	Test_F_Neg: 0.633333333333	Time: 13.0166430473
Iter: 21	Train_Acc: 0.834146341463	Train_F_Pos: 0.165853658537	Train_F_Neg: 0.165853658537	Test_Acc: 0.599206349206	Test_F_Pos: 0.196825396825	Test_F_Neg: 0.604761904762	Time: 12.9973008633
Iter: 22	Train_Acc: 0.821341463415	Train_F_Pos: 0.153658536585	Train_F_Neg: 0.203658536585	Test_Acc: 0.594444444444	Test_F_Pos: 0.166666666667	Test_F_Neg: 0.644444444444	Time: 13.0355758667
Iter: 23	Train_Acc: 0.836585365854	Train_F_Pos: 0.173170731707	Train_F_Neg: 0.153658536585	Test_Acc: 0.6	Test_F_Pos: 0.196825396825	Test_F_Neg: 0.603174603175	Time: 13.1511268616
Iter: 24	Train_Acc: 0.831707317073	Train_F_Pos: 0.151219512195	Train_F_Neg: 0.185365853659	Test_Acc: 0.589682539683	Test_F_Pos: 0.169841269841	Test_F_Neg: 0.650793650794	Time: 13.0139200687
Iter: 25	Train_Acc: 0.840853658537	Train_F_Pos: 0.159756097561	Train_F_Neg: 0.158536585366	Test_Acc: 0.604761904762	Test_F_Pos: 0.190476190476	Test_F_Neg: 0.6	Time: 13.0017809868
Iter: 26	Train_Acc: 0.839024390244	Train_F_Pos: 0.165853658537	Train_F_Neg: 0.156097560976	Test_Acc: 0.592063492063	Test_F_Pos: 0.185714285714	Test_F_Neg: 0.630158730159	Time: 13.2574570179
Iter: 27	Train_Acc: 0.846341463415	Train_F_Pos: 0.163414634146	Train_F_Neg: 0.143902439024	Test_Acc: 0.592857142857	Test_F_Pos: 0.204761904762	Test_F_Neg: 0.609523809524	Time: 13.1257798672
Iter: 28	Train_Acc: 0.843902439024	Train_F_Pos: 0.137804878049	Train_F_Neg: 0.174390243902	Test_Acc: 0.592063492063	Test_F_Pos: 0.17619047619	Test_F_Neg: 0.639682539683	Time: 13.1389458179
Iter: 29	Train_Acc: 0.853658536585	Train_F_Pos: 0.151219512195	Train_F_Neg: 0.141463414634	Test_Acc: 0.598412698413	Test_F_Pos: 0.184126984127	Test_F_Neg: 0.619047619048	Time: 13.2015399933
Iter: 30	Train_Acc: 0.854268292683	Train_F_Pos: 0.131707317073	Train_F_Neg: 0.159756097561	Test_Acc: 0.597619047619	Test_F_Pos: 0.165079365079	Test_F_Neg: 0.639682539683	Time: 13.1407020092
Iter: 31	Train_Acc: 0.851829268293	Train_F_Pos: 0.146341463415	Train_F_Neg: 0.15	Test_Acc: 0.590476190476	Test_F_Pos: 0.184126984127	Test_F_Neg: 0.634920634921	Time: 13.1374368668
Iter: 32	Train_Acc: 0.85487804878	Train_F_Pos: 0.157317073171	Train_F_Neg: 0.132926829268	Test_Acc: 0.593650793651	Test_F_Pos: 0.206349206349	Test_F_Neg: 0.606349206349	Time: 13.0737218857
Iter: 33	Train_Acc: 0.856097560976	Train_F_Pos: 0.146341463415	Train_F_Neg: 0.141463414634	Test_Acc: 0.593650793651	Test_F_Pos: 0.18253968254	Test_F_Neg: 0.630158730159	Time: 13.1954269409
Iter: 34	Train_Acc: 0.859756097561	Train_F_Pos: 0.131707317073	Train_F_Neg: 0.148780487805	Test_Acc: 0.598412698413	Test_F_Pos: 0.17619047619	Test_F_Neg: 0.626984126984	Time: 13.2710888386
Iter: 35	Train_Acc: 0.865853658537	Train_F_Pos: 0.139024390244	Train_F_Neg: 0.129268292683	Test_Acc: 0.598412698413	Test_F_Pos: 0.179365079365	Test_F_Neg: 0.62380952381	Time: 13.2255740166
Iter: 36	Train_Acc: 0.861585365854	Train_F_Pos: 0.137804878049	Train_F_Neg: 0.139024390244	Test_Acc: 0.584920634921	Test_F_Pos: 0.198412698413	Test_F_Neg: 0.631746031746	Time: 13.1256089211
Iter: 37	Train_Acc: 0.859756097561	Train_F_Pos: 0.129268292683	Train_F_Neg: 0.151219512195	Test_Acc: 0.590476190476	Test_F_Pos: 0.173015873016	Test_F_Neg: 0.646031746032	Time: 13.1508579254
Iter: 38	Train_Acc: 0.864634146341	Train_F_Pos: 0.14512195122	Train_F_Neg: 0.125609756098	Test_Acc: 0.592857142857	Test_F_Pos: 0.201587301587	Test_F_Neg: 0.612698412698	Time: 13.1548929214
Iter: 39	Train_Acc: 0.862195121951	Train_F_Pos: 0.126829268293	Train_F_Neg: 0.148780487805	Test_Acc: 0.587301587302	Test_F_Pos: 0.17619047619	Test_F_Neg: 0.649206349206	Time: 13.1673929691
Iter: 40	Train_Acc: 0.87012195122	Train_F_Pos: 0.125609756098	Train_F_Neg: 0.134146341463	Test_Acc: 0.596031746032	Test_F_Pos: 0.174603174603	Test_F_Neg: 0.633333333333	Time: 13.0982611179
Iter: 41	Train_Acc: 0.867073170732	Train_F_Pos: 0.126829268293	Train_F_Neg: 0.139024390244	Test_Acc: 0.581746031746	Test_F_Pos: 0.177777777778	Test_F_Neg: 0.65873015873	Time: 13.16685009
Iter: 42	Train_Acc: 0.868902439024	Train_F_Pos: 0.141463414634	Train_F_Neg: 0.120731707317	Test_Acc: 0.587301587302	Test_F_Pos: 0.188888888889	Test_F_Neg: 0.636507936508	Time: 13.0964808464
Iter: 43	Train_Acc: 0.874390243902	Train_F_Pos: 0.141463414634	Train_F_Neg: 0.109756097561	Test_Acc: 0.580158730159	Test_F_Pos: 0.190476190476	Test_F_Neg: 0.649206349206	Time: 13.2076058388
Iter: 44	Train_Acc: 0.87256097561	Train_F_Pos: 0.120731707317	Train_F_Neg: 0.134146341463	Test_Acc: 0.573015873016	Test_F_Pos: 0.168253968254	Test_F_Neg: 0.685714285714	Time: 13.2001550198
Iter: 45	Train_Acc: 0.87743902439	Train_F_Pos: 0.135365853659	Train_F_Neg: 0.109756097561	Test_Acc: 0.580952380952	Test_F_Pos: 0.180952380952	Test_F_Neg: 0.657142857143	Time: 13.168320179
Iter: 46	Train_Acc: 0.87743902439	Train_F_Pos: 0.115853658537	Train_F_Neg: 0.129268292683	Test_Acc: 0.569841269841	Test_F_Pos: 0.161904761905	Test_F_Neg: 0.698412698413	Time: 13.2033150196
Iter: 47	Train_Acc: 0.878048780488	Train_F_Pos: 0.135365853659	Train_F_Neg: 0.108536585366	Test_Acc: 0.581746031746	Test_F_Pos: 0.180952380952	Test_F_Neg: 0.655555555556	Time: 13.156719923
Iter: 48	Train_Acc: 0.876219512195	Train_F_Pos: 0.131707317073	Train_F_Neg: 0.115853658537	Test_Acc: 0.578571428571	Test_F_Pos: 0.180952380952	Test_F_Neg: 0.661904761905	Time: 13.3051590919
Iter: 49	Train_Acc: 0.884146341463	Train_F_Pos: 0.125609756098	Train_F_Neg: 0.106097560976	Test_Acc: 0.574603174603	Test_F_Pos: 0.179365079365	Test_F_Neg: 0.671428571429	Time: 13.1835398674
